Rule,Support,Confidence,Lift,Leverage
also -> one,0.321110529072813,0.321110529072813,1.0,0.678889470927187
thi -> also,0.4038763750654793,0.4038763750654793,1.0,0.5961236249345208
american -> thi,0.3106338397066527,0.3106338397066527,1.0,0.6893661602933473
thi -> ani,0.3514929282346778,0.3514929282346778,1.0,0.6485070717653222
becaus -> thi,0.3373493975903614,0.3373493975903614,1.0,0.6626506024096386
thi -> clinton,0.3006809848088004,0.3006809848088004,1.0,0.6993190151911997
thi -> come,0.3258250392875851,0.3258250392875851,1.0,0.6741749607124149
thi -> could,0.3289680460974332,0.3289680460974332,1.0,0.6710319539025669
thi -> day,0.321110529072813,0.321110529072813,1.0,0.678889470927187
thi -> elect,0.30853850183342063,0.30853850183342063,1.0,0.6914614981665794
even -> one,0.321634363541121,0.321634363541121,1.0,0.678365636458879
thi -> even,0.39601885804085907,0.39601885804085907,1.0,0.603981141959141
first -> thi,0.3143006809848088,0.3143006809848088,1.0,0.6856993190151912
get -> thi,0.35935044525929805,0.35935044525929805,1.0,0.640649554740702
thi -> know,0.321634363541121,0.321634363541121,1.0,0.678365636458879
like -> one,0.3535882661079099,0.3535882661079099,1.0,0.6464117338920901
peopl -> like,0.3095861707700367,0.3095861707700367,1.0,0.6904138292299633
thi -> like,0.4389732844421163,0.4389732844421163,1.0,0.5610267155578836
time -> like,0.3027763226820325,0.3027763226820325,1.0,0.6972236773179675
like -> would,0.30906233630172864,0.30906233630172864,1.0,0.6909376636982714
make -> one,0.3033001571503405,0.3033001571503405,1.0,0.6966998428496596
thi -> make,0.3771608171817706,0.3771608171817706,1.0,0.6228391828182294
thi -> mani,0.33420639078051334,0.33420639078051334,1.0,0.6657936092194867
new -> one,0.33106338397066526,0.33106338397066526,1.0,0.6689366160293347
new -> thi,0.43635411210057623,0.43635411210057623,1.0,0.5636458878994237
onli -> one,0.3038239916186485,0.3038239916186485,1.0,0.6961760083813515
peopl -> one,0.3499214248297538,0.3499214248297538,1.0,0.6500785751702463
state -> one,0.31849135673127293,0.31849135673127293,1.0,0.6815086432687271
thi -> one,0.49869041382922996,0.49869041382922996,1.0,0.50130958617077
time -> one,0.3530644316396019,0.3530644316396019,1.0,0.6469355683603981
would -> one,0.33473022524882134,0.33473022524882134,1.0,0.6652697747511787
year -> one,0.30591932949188055,0.30591932949188055,1.0,0.6940806705081195
thi -> onli,0.3792561550550026,0.3792561550550026,1.0,0.6207438449449973
peopl -> thi,0.43635411210057623,0.43635411210057623,1.0,0.5636458878994237
thi -> report,0.31901519119958094,0.31901519119958094,1.0,0.6809848088004191
said -> thi,0.3855421686746988,0.3855421686746988,1.0,0.6144578313253012
thi -> say,0.3635411210057622,0.3635411210057622,1.0,0.6364588789942378
thi -> state,0.40859088528025145,0.40859088528025145,1.0,0.5914091147197486
thi -> take,0.34573074908328966,0.34573074908328966,1.0,0.6542692509167103
thi -> time,0.4394971189104243,0.4394971189104243,1.0,0.5605028810895757
thi -> two,0.3080146673651126,0.3080146673651126,1.0,0.6919853326348874
thi -> use,0.36616029334730227,0.36616029334730227,1.0,0.6338397066526977
thi -> way,0.3132530120481928,0.3132530120481928,1.0,0.6867469879518072
thi -> work,0.321634363541121,0.321634363541121,1.0,0.678365636458879
thi -> world,0.30172865374541646,0.30172865374541646,1.0,0.6982713462545835
thi -> would,0.429020429544264,0.429020429544264,1.0,0.570979570455736
thi -> year,0.38239916186485073,0.38239916186485073,1.0,0.6176008381351492
time -> would,0.30225248821372447,0.30225248821372447,1.0,0.6977475117862755
thi -> also,0.3074908328968046,0.3074908328968046,1.0,0.6925091671031953
thi -> even,0.3122053431115767,0.3122053431115767,1.0,0.6877946568884232
thi -> like,0.3373493975903614,0.3373493975903614,1.0,0.6626506024096386
new -> thi,0.31691985332634887,0.31691985332634887,1.0,0.6830801466736511
peopl -> thi,0.3352540597171294,0.3352540597171294,1.0,0.6647459402828706
thi -> state,0.3033001571503405,0.3033001571503405,1.0,0.6966998428496596
thi -> time,0.3394447354635935,0.3394447354635935,1.0,0.6605552645364066
would -> thi,0.31849135673127293,0.31849135673127293,1.0,0.6815086432687271
